	PC1	PC2	PC3	uniqID	filename_prefix	temperature	ph	orp	salinity	conductivity	tds	depthlayer	site	site_depthlayer	depth_cm	Nitrogen_Store	OC_Store	OC_percent	moisture_content	cell_abundance	particle_size_analysis	sand_percent	silt_percent	clay_percent	old_name
KS-C1-L1	-2.4302586728453752	0.4819046374369729	-0.36973921787654723	KS-C1-L1	KS-C1-L1	29.0	7.2	-7.4	31.53	48.4	24.27	Top	KS	KS_Top	10	23.99	559.1	7.68	99.6	1830000000.0	3.12	1.77	44.6	48.87	2022-KS-C1-L1
KS-C1-L10	-1.4261494401810308	1.6101334498494917	-0.3596788347251472	KS-C1-L10	KS-C1-L10	29.0	7.2	-7.4	31.53	48.4	24.27	Bottom	KS	KS_Bottom	100	13.86	222.07	2.3	86.13	395000000.0	7.13	0.82	81.09	17.75	2022-KS-C1-L10
KS-C1-L5	3.301754356711034	1.6682266131909336	0.6126905150580991	KS-C1-L5	KS-C1-L5	29.0	7.2	-7.4	31.53	48.4	24.27	Middle	KS	KS_Middle	50	13.3	333.03	3.89	79.28	838000000.0	8.13	8.79	71.52	19.31	2022-KS-C1-L5
KS-C2-L1	-2.5388722876088026	-0.46948935637124845	0.5197920590886698	KS-C2-L1	KS-C2-L1	30.0	6.99	-4.7	20.82	35.45	17.2	Top	KS	KS_Top	10	16.36	199.93	4.36	91.32	1830000000.0	2.53	2.62	32.19	60.74	2022-KS-C2-L1
KS-C2-L10	6.270211600186583	-1.6753914976996014	-0.6242428659686868	KS-C2-L10	KS-C2-L10	28.0	6.99	-4.7	20.82	35.45	17.2	Bottom	KS	KS_Bottom	100	13.23	158.76	1.65	102.24	865000000.0	5.27	4.4	59.53	33.74	2022-KS-C2-L10
KS-C2-L5	0.6185816377865424	2.5844112538415263	-0.8415221014080875	KS-C2-L5	KS-C2-L5	30.0	6.99	-4.7	20.82	35.45	17.2	Middle	KS	KS_Middle	50	15.15	243.56	2.84	95.09	699000000.0	3.15	6.99	40.22	47.52	2022-KS-C2-L5
KS-C3-L1	-2.5727097736161686	-1.3036137670723242	-0.329972322459559	KS-C3-L1	KS-C3-L1	30.0	6.76	-7.8	37.47	56.6	28.3	Top	KS	KS_Top	10	20.22	248.35	3.41	90.36	1880000000.0	2.09	1.69	21.51	72.85	2022-KS-C3-L1
KS-C3-L10	6.081442778125177	-1.5337603567715472	-0.14902200343069452	KS-C3-L10	KS-C3-L10	31.0	6.76	-7.8	37.47	56.6	28.3	Bottom	KS	KS_Bottom	100	14.33	176.2	1.83	70.03	654000000.0	11.12	10.28	85.79	3.93	2022-KS-C3-L10
KS-C3-L5	-2.6682818869911293	-0.7329879507139457	-0.3013762554006878	KS-C3-L5	KS-C3-L5	29.0	6.76	-7.8	37.47	56.6	28.3	Middle	KS	KS_Middle	50	14.21	177.72	2.07	83.46	239000000.0	2.31	1.56	28.64	65.13	2022-KS-C3-L5
KS-C4-L2	-2.7262639840048872	-1.6412376347416249	0.1495162354542603	KS-C4-L2	KS-C4-L2							Top	KS	KS_Top	10	16.16	213.97	2.94	80.5	328000000.0	1.52	1.55	5.64	86.6	2022-KS-C4-L2
KS-C4-L5	-2.4431527474766637	0.368645593588877	0.4034101072239995	KS-C4-L5	KS-C4-L5							Middle	KS	KS_Middle	50	14.37	172.32	2.01	82.63	216000000.0	2.23	1.11	23.74	71.16	2022-KS-C4-L5
KS-C5-L1	-2.42000339591106	-2.0483578592562566	0.2693654315953769	KS-C5-L1	KS-C5-L1	30.0	7.36	-4.6	29.83	45.6	23.25	Top	KS	KS_Top	10	18.08	190.12	2.61	91.73	188000000.0	5.35	4.76	62.73	31.08	2022-KS-C5-L1
KS-C5-L5	-0.9684068866123723	1.9211923426373525	0.07881385402907941	KS-C5-L5	KS-C5-L5	30.0	7.36	-4.6	29.83	45.6	23.25	Middle	KS	KS_Middle	50	14.71	186.69	2.18	78.83	155000000.0	4.85	2.21	60.21	35.41	2022-KS-C5-L5
KS-C5-L8	3.922108702438157	0.7703245320813932	0.9419653988199259	KS-C5-L8	KS-C5-L8	30.0	7.36	-4.6	29.83	45.6	23.25	Bottom	KS	KS_Bottom	100	14.94	175.04	1.87	75.37	204000000.0	6.38	1.5	51.31	45.45	2022-KS-C5-L8
