	UMAP1	UMAP2	UMAP3	uniqID	filename_prefix	temperature	ph	orp	salinity	conductivity	tds	depthlayer	site	site_depthlayer	depth_cm	Nitrogen_Store	OC_Store	OC_percent	moisture_content	cell_abundance	particle_size_analysis	sand_percent	silt_percent	clay_percent	old_name
KS-C1-L1	6.1872516	-10.319391	2.4121032	KS-C1-L1	KS-C1-L1	29.0	7.2	-7.4	31.53	48.4	24.27	Top	KS	KS_Top	10	23.99	559.1	7.68	99.6	1830000000.0	3.12	1.77	44.6	48.87	2022-KS-C1-L1
KS-C1-L10	5.7120214	-10.398369	3.1449783	KS-C1-L10	KS-C1-L10	29.0	7.2	-7.4	31.53	48.4	24.27	Bottom	KS	KS_Bottom	100	13.86	222.07	2.3	86.13	395000000.0	7.13	0.82	81.09	17.75	2022-KS-C1-L10
KS-C1-L5	6.3709254	-9.906497	4.329727	KS-C1-L5	KS-C1-L5	29.0	7.2	-7.4	31.53	48.4	24.27	Middle	KS	KS_Middle	50	13.3	333.03	3.89	79.28	838000000.0	8.13	8.79	71.52	19.31	2022-KS-C1-L5
KS-C2-L1	6.0021143	-9.234807	2.116211	KS-C2-L1	KS-C2-L1	30.0	6.99	-4.7	20.82	35.45	17.2	Top	KS	KS_Top	10	16.36	199.93	4.36	91.32	1830000000.0	2.53	2.62	32.19	60.74	2022-KS-C2-L1
KS-C2-L10	6.0940213	-9.009556	4.4750314	KS-C2-L10	KS-C2-L10	28.0	6.99	-4.7	20.82	35.45	17.2	Bottom	KS	KS_Bottom	100	13.23	158.76	1.65	102.24	865000000.0	5.27	4.4	59.53	33.74	2022-KS-C2-L10
KS-C2-L5	5.674395	-10.142303	3.8251328	KS-C2-L5	KS-C2-L5	30.0	6.99	-4.7	20.82	35.45	17.2	Middle	KS	KS_Middle	50	15.15	243.56	2.84	95.09	699000000.0	3.15	6.99	40.22	47.52	2022-KS-C2-L5
KS-C3-L1	4.762624	-9.871505	2.294106	KS-C3-L1	KS-C3-L1	30.0	6.76	-7.8	37.47	56.6	28.3	Top	KS	KS_Top	10	20.22	248.35	3.41	90.36	1880000000.0	2.09	1.69	21.51	72.85	2022-KS-C3-L1
KS-C3-L10	5.541525	-9.4336405	4.592639	KS-C3-L10	KS-C3-L10	31.0	6.76	-7.8	37.47	56.6	28.3	Bottom	KS	KS_Bottom	100	14.33	176.2	1.83	70.03	654000000.0	11.12	10.28	85.79	3.93	2022-KS-C3-L10
KS-C3-L5	5.525499	-10.032349	2.0426843	KS-C3-L5	KS-C3-L5	29.0	6.76	-7.8	37.47	56.6	28.3	Middle	KS	KS_Middle	50	14.21	177.72	2.07	83.46	239000000.0	2.31	1.56	28.64	65.13	2022-KS-C3-L5
KS-C4-L2	5.2245145	-9.337085	1.8298486	KS-C4-L2	KS-C4-L2							Top	KS	KS_Top	10	16.16	213.97	2.94	80.5	328000000.0	1.52	1.55	5.64	86.6	2022-KS-C4-L2
KS-C4-L5	6.2528505	-9.62937	2.6094105	KS-C4-L5	KS-C4-L5							Middle	KS	KS_Middle	50	14.37	172.32	2.01	82.63	216000000.0	2.23	1.11	23.74	71.16	2022-KS-C4-L5
KS-C5-L1	5.2003865	-9.084649	2.3311222	KS-C5-L1	KS-C5-L1	30.0	7.36	-4.6	29.83	45.6	23.25	Top	KS	KS_Top	10	18.08	190.12	2.61	91.73	188000000.0	5.35	4.76	62.73	31.08	2022-KS-C5-L1
KS-C5-L5	5.6181784	-9.6497	3.358719	KS-C5-L5	KS-C5-L5	30.0	7.36	-4.6	29.83	45.6	23.25	Middle	KS	KS_Middle	50	14.71	186.69	2.18	78.83	155000000.0	4.85	2.21	60.21	35.41	2022-KS-C5-L5
KS-C5-L8	5.93752	-9.901506	4.724202	KS-C5-L8	KS-C5-L8	30.0	7.36	-4.6	29.83	45.6	23.25	Bottom	KS	KS_Bottom	100	14.94	175.04	1.87	75.37	204000000.0	6.38	1.5	51.31	45.45	2022-KS-C5-L8
