	K00855: PRK, prkB	K01601: rbcL, cbbL	K01602: rbcS, cbbS	K00927: PGK, pgk	K00150: gap2	K00134: GAPDH, gapA
KS-C1-L1	5350.9	6695.5	3509.5	43935.94999999999	317.0	53957.58
KS-C1-L10	4281.6	5540.5	2575.0	43766.06999999999	280.0	52773.17999999999
KS-C1-L5	2983.67	4544.0	2324.0	44174.48	252.5	51941.36
KS-C2-L1	6045.5	8914.5	5164.0	44202.34	149.5	49547.17
KS-C2-L10	703.3	778.67	369.0	43586.46000000001	1497.84	49164.06999999999
KS-C2-L5	3683.87	4470.0	2744.0	44325.4	450.5	53392.600000000006
KS-C3-L1	6584.0	7697.0	4072.5	43253.23	98.0	52224.45999999999
KS-C3-L10	1397.83	1099.0	585.0	44366.16000000001	660.0	49834.65000000001
KS-C3-L5	6578.349999999999	8003.5	4439.5	43021.88	155.0	53484.51
KS-C4-L2	6840.6	9205.0	5321.5	43854.88	113.0	50251.98
KS-C4-L5	5450.1	7391.4	4407.4	44453.600000000006	197.0	50090.9
KS-C5-L1	8015.769999999999	11475.0	6729.5	43981.6	111.5	48993.38000000001
KS-C5-L5	3341.3	5137.1	2172.1	44575.05	439.0	52175.4
KS-C5-L8	2774.1	2195.83	915.0	43753.62	449.33	50864.83
MB-C1-L1	3834.499999999999	5349.5	2846.0	43325.94999999999	651.0	52483.11000000001
MB-C2-L1	1116.37	1694.33	688.5	44196.670000000006	4373.5	46565.23
MB-C2-L1-B	4917.42	6156.17	3726.5	42725.48999999999	208.17	57179.030000000006
MB-C3-L1	4347.599999999999	5602.5	3272.5	43044.69999999999	207.0	53594.48
PL-C1-L1	8701.1	9660.0	4053.0	43353.66	121.5	50777.57
PL-C1-L4	6436.100000000002	6315.5	2570.5	43614.68000000001	684.5	50745.73999999999
PL-C1-L7	513.1999999999999	777.0	195.5	44597.21	2619.5	49272.350000000006
PL-C2-L1	7259.0	7638.0	3252.0	43343.79000000001	72.0	46946.08
PL-C2-L1-B	5832.35	6015.0	2260.5	43333.42000000002	65.5	47023.24000000002
PL-C2-L4	1754.9	1366.7	549.2	43688.45	1048.0	49117.02
PL-C2-L8	5978.6	5309.5	2179.5	43662.95	198.5	48296.74999999999
PL-C3-L1	7741.33	8481.5	4161.5	43132.58	112.0	51398.16
PL-C3-L10	1039.5000000000002	1652.5	755.0	44522.79999999998	3411.5	47003.89000000001
PL-C3-L5	4293.2	2407.5	866.5	44228.64999999999	1443.5	48564.18000000001
SB-C1-L1	4603.8	8885.5	4496.5	44314.99999999999	599.0	54881.73
SB-C1-L3	2878.5	5278.0	2705.0	44520.02	845.0	56691.57
SB-C1-L5	1900.2	3400.0	1614.0	44658.58	1678.0	55276.16
SB-C2-L1	6372.400000000001	9737.0	4341.0	43853.02	111.0	54562.38
SB-C2-L4	6043.0	9268.6	4207.6	44018.99999999999	344.0	52598.0
SB-C2-L8	1067.4700000000005	1571.0	635.0	44625.56999999999	2076.0	51728.96000000001
SB-C3-L1	6203.4	11489.0	6048.0	44235.20999999999	239.5	55300.48
SB-C3-L1-B	6168.8	9805.5	5094.5	43882.530000000006	457.0	53001.15000000001
SB-C3-L10	1586.8000000000002	1316.0	452.0	44637.85999999999	3490.0	48026.86000000001
SB-C3-L5	1670.1999999999998	2587.0	1332.0	44519.24999999999	2468.5	50332.80999999998
