	K01595: ppc	K00024: mdh
KS-C1-L1	12302.63	41479.3
KS-C1-L10	10128.320000000002	39173.47
KS-C1-L5	6042.5	34899.149999999994
KS-C2-L1	13269.34	43304.84
KS-C2-L10	3316.24	34360.04
KS-C2-L5	7475.160000000001	35697.65
KS-C3-L1	17210.019999999997	41299.16
KS-C3-L10	3725.0	36086.16
KS-C3-L5	15685.15	40919.9
KS-C4-L2	16678.96	42934.26
KS-C4-L5	11454.929999999998	42673.600000000006
KS-C5-L1	17653.61	43134.09
KS-C5-L5	7440.44	39397.22
KS-C5-L8	6183.47	34800.21
MB-C1-L1	9984.830000000002	38743.240000000005
MB-C2-L1	2609.2700000000004	35529.93000000001
MB-C2-L1-B	16473.25	39391.35
MB-C3-L1	14525.8	39856.77
PL-C1-L1	15008.31	38856.91
PL-C1-L4	11154.529999999995	38392.32000000001
PL-C1-L7	1551.26	39611.00000000001
PL-C2-L1	15578.84	40823.29000000001
PL-C2-L1-B	15587.78	40129.77000000002
PL-C2-L4	4855.26	36987.53
PL-C2-L8	13233.07	38060.88
PL-C3-L1	14774.76	37705.5
PL-C3-L10	2180.21	35647.96999999999
PL-C3-L5	9143.220000000005	35388.40000000001
SB-C1-L1	10467.41	41062.16
SB-C1-L3	6977.66	40437.01
SB-C1-L5	4447.599999999999	39724.7
SB-C2-L1	15506.53	41283.07000000001
SB-C2-L4	14184.7	41165.09
SB-C2-L8	3455.74	39720.43999999999
SB-C3-L1	13849.03	41760.42999999999
SB-C3-L1-B	14199.44	39379.03
SB-C3-L10	3398.07	37309.06
SB-C3-L5	4499.52	38114.15
