	K01595: ppc	K00051: E1.1.1.82	K00029: E1.1.1.40, maeB	K01006: ppdK
KS-C1-L1	12302.63	2.0	22156.58	39521.63999999999
KS-C1-L10	10128.320000000002	0.0	18936.300000000003	40333.81
KS-C1-L5	6042.5	0.0	14144.249999999998	36090.06
KS-C2-L1	13269.34	0.0	23617.34	36392.51
KS-C2-L10	3316.24	0.0	9696.469999999998	31657.99
KS-C2-L5	7475.160000000001	2.0	18938.46	36203.99999999999
KS-C3-L1	17210.019999999997	7.0	23669.67	34276.20999999999
KS-C3-L10	3725.0	0.0	8071.49	33253.33
KS-C3-L5	15685.15	0.0	25090.88	35058.119999999995
KS-C4-L2	16678.96	4.0	25185.25999999999	34779.45
KS-C4-L5	11454.929999999998	0.0	21741.66	38107.4
KS-C5-L1	17653.61	0.0	25608.01	32049.830000000005
KS-C5-L5	7440.44	0.0	22550.57	37606.11
KS-C5-L8	6183.47	0.0	11760.44	35639.36
MB-C1-L1	9984.830000000002	8.0	16532.58	39572.530000000006
MB-C2-L1	2609.2700000000004	9.0	8846.04	36857.310000000005
MB-C2-L1-B	16473.25	6.0	21625.51	34206.99999999999
MB-C3-L1	14525.8	16.0	19217.77	36628.09999999999
PL-C1-L1	15008.31	5.0	19755.43	38903.64
PL-C1-L4	11154.529999999995	14.0	16420.28	40629.08000000001
PL-C1-L7	1551.26	0.0	7793.759999999999	30704.000000000004
PL-C2-L1	15578.84	80.0	18916.17	36016.95999999999
PL-C2-L1-B	15587.78	76.0	16345.32	37083.74000000002
PL-C2-L4	4855.26	2.0	7860.03	42241.75000000001
PL-C2-L8	13233.07	39.0	13101.52	41057.77
PL-C3-L1	14774.76	14.0	19672.66	37324.75
PL-C3-L10	2180.21	3.0	7617.84	34734.8
PL-C3-L5	9143.220000000005	5.0	11257.2	42789.27999999999
SB-C1-L1	10467.41	2.0	20303.48	42509.03999999999
SB-C1-L3	6977.66	2.0	17158.260000000002	45645.27
SB-C1-L5	4447.599999999999	7.0	14908.7	43274.380000000005
SB-C2-L1	15506.53	9.0	23340.4	40424.78999999999
SB-C2-L4	14184.7	3.0	21914.85	39683.35
SB-C2-L8	3455.74	5.0	12082.740000000002	40956.59999999999
SB-C3-L1	13849.03	2.0	22963.98	40081.01
SB-C3-L1-B	14199.44	2.0	20312.95	36064.97
SB-C3-L10	3398.07	7.0	10217.89	35574.48
SB-C3-L5	4499.52	0.0	12264.700000000004	40295.71
