	K00863: DAK, TKFC	K01624: FBA, fbaA	K03841: FBP, fbp
KS-C1-L1	217.08	18580.84	9579.58
KS-C1-L10	205.33	16824.48	7953.620000000001
KS-C1-L5	75.75	14101.419999999998	7414.25
KS-C2-L1	149.0	17196.83	11066.34
KS-C2-L10	31.0	11548.949999999995	5973.97
KS-C2-L5	103.0	16493.960000000003	9104.46
KS-C3-L1	468.25	21355.04	10245.35
KS-C3-L10	166.0	9257.66	4377.16
KS-C3-L5	341.5	20580.59	11536.95
KS-C4-L2	215.33	18342.17	11023.26
KS-C4-L5	64.17	16714.1	9501.66
KS-C5-L1	248.4	19947.71	13244.01
KS-C5-L5	127.5	15562.210000000005	7900.74
KS-C5-L8	216.0	14662.38	5591.77
MB-C1-L1	204.75	21615.640000000003	6763.249999999999
MB-C2-L1	91.5	15123.88	3990.04
MB-C2-L1-B	575.9	25451.430000000004	8112.67
MB-C3-L1	392.92	23455.3	7158.6
PL-C1-L1	143.1	22827.160000000003	7293.93
PL-C1-L4	155.25	18856.53	6417.100000000002
PL-C1-L7	20.5	7775.049999999998	4771.03
PL-C2-L1	440.83	22551.62	7834.17
PL-C2-L1-B	528.1	24284.210000000003	5966.32
PL-C2-L4	55.3	23512.95	3253.03
PL-C2-L8	142.67999999999998	24252.35	6006.02
PL-C3-L1	342.7	22515.44	7451.16
PL-C3-L10	20.65	10050.660000000002	4812.009999999999
PL-C3-L5	69.4	19121.720000000005	5723.699999999999
SB-C1-L1	248.25	21571.41	7626.64
SB-C1-L3	96.5	16854.870000000003	7286.66
SB-C1-L5	5.75	13960.58	6927.200000000001
SB-C2-L1	547.0	23882.52	7774.73
SB-C2-L4	435.0	23352.95	7762.849999999999
SB-C2-L8	49.83	13119.4	6055.639999999999
SB-C3-L1	444.83	25539.66	8967.98
SB-C3-L1-B	335.72	26263.94	8685.29
SB-C3-L10	52.0	14222.840000000004	5443.72
SB-C3-L5	60.17	16279.510000000004	6054.870000000001
