	K14080: mtaA	K04480: mtaB	K14081: mtaC	K00399: mcrA	K00401: mcrB	K00402: mcrG	K03388: hdrA2	K03389: hdrB2	K03390: hdrC2	K08264: hdrD	K08265: hdrE	K14127: mvhD, vhuD, vhcD	K14126: mvhA, vhuA, vhcA	K14128: mvhG, vhuG, vhcG	K00125: fdhB
KS-C1-L1	16.25	0.0	0.0	85.0	85.0	85.0	44766.170000000006	18139.18	7886.54	89.0	6.0	6606.17	3081.0	2178.0	721.67
KS-C1-L10	1.33	0.0	0.0	48.0	48.0	48.0	44958.15	18044.77	9428.59	48.0	0.0	7424.84	3802.0	3100.0	609.34
KS-C1-L5	30.5	0.0	0.0	59.0	59.0	59.0	48530.83	22311.05	14820.65	47.0	0.0	11783.5	8869.0	8307.0	556.0
KS-C2-L1	0.5	0.0	0.0	50.0	50.0	50.0	23960.0	13920.0	4272.5	47.0	0.0	3522.0	2323.0	1317.0	219.0
KS-C2-L10	6.69	2.01	2.01	861.67	861.67	861.67	50449.28999999999	27792.06	21266.49	798.67	0.67	16061.5	12761.5	13478.5	85.0
KS-C2-L5	6.5	0.0	0.0	99.0	99.0	99.0	44561.1	20839.61	11646.97	91.0	0.0	10036.17	6945.0	6003.0	413.67
KS-C3-L1	9.25	8.0	8.0	12.0	12.0	12.0	24778.34	10982.1	4792.459999999999	12.0	0.0	3219.32	1509.5	842.5	330.31999999999994
KS-C3-L10	24.0	2.0	2.0	390.0	390.0	390.0	44445.8	25323.99	20170.33	383.0	1.0	15824.83	13175.5	13391.5	91.33
KS-C3-L5	0.0	0.0	0.0	53.0	53.0	53.0	34945.770000000004	14776.79	6514.51	40.0	0.0	4557.84	2032.0	1294.0	495.34
KS-C4-L2	0.0	0.0	0.0	10.0	10.0	10.0	17211.79	9013.79	3248.79	10.0	0.0	2044.0	1314.0	432.0	148.0
KS-C4-L5	13.0	0.0	0.0	41.0	41.0	41.0	27389.0	13369.0	5247.0	41.0	0.0	4301.0	2750.0	1532.0	213.0
KS-C5-L1	0.0	12.0	12.0	20.0	20.0	20.0	13117.86	8634.86	2958.36	20.0	0.0	1819.0	1542.0	528.0	45.0
KS-C5-L5	3.5	0.0	0.0	140.0	140.0	140.0	29505.2	15702.01	8911.67	140.0	44.0	7058.67	5317.0	4150.0	113.67
KS-C5-L8	20.32	0.99	0.99	66.33	66.33	66.33	36668.86	19394.49	15375.33	58.33	0.33	10196.67	8455.5	8223.5	50.67
MB-C1-L1	60.0	15.0	22.0	207.0	207.0	207.0	41315.47	17520.239999999998	8016.28	150.0	7.0	6392.33	2244.0	2217.0	420.33
MB-C2-L1	26.5	14.0	14.0	2327.5	2327.5	2327.5	58315.16	29366.76	18198.36	2083.5	6.5	16983.0	9987.0	12554.0	451.0
MB-C2-L1-B	42.95	2.01	2.01	33.67	33.67	33.67	22981.620000000003	10381.74	4547.56	11.0	0.67	3169.34	1383.0	1260.0	310.34000000000003
MB-C3-L1	21.17	2.0	2.0	34.5	34.5	34.5	26639.13	11647.44	4978.6	25.5	3.5	3670.67	1451.0	1277.0	313.67
PL-C1-L1	15.5	4.0	6.0	36.0	36.0	36.0	29769.49	11144.09	5465.19	30.0	2.0	4338.0	1374.0	1153.0	462.0
PL-C1-L4	56.5	3.0	3.0	238.0	238.0	238.0	44151.06	19253.2	10413.24	197.0	0.0	8922.33	4220.0	4231.0	319.33
PL-C1-L7	11.5	0.0	0.0	1119.0	1119.0	1119.0	68121.31999999999	38491.3	29804.9	982.0	3.0	24755.0	20029.0	20805.0	305.0
PL-C2-L1	0.0	0.0	0.0	10.0	10.0	10.0	7242.9	3983.1	1666.8	0.0	0.0	875.0	375.0	130.0	67.0
PL-C2-L1-B	37.75	0.0	0.0	9.0	9.0	9.0	4844.65	2572.35	1061.55	7.0	0.0	609.5	279.5	138.5	51.0
PL-C2-L4	32.620000000000005	5.62	0.0	92.0	92.0	92.0	44580.35	18573.3	11047.0	86.0	6.0	8131.0	3739.0	4326.0	270.0
PL-C2-L8	33.25	4.0	4.0	71.0	71.0	71.0	19009.99	8566.54	3873.34	67.0	2.0	3021.5	1168.0	948.0	123.0
PL-C3-L1	54.0	8.0	12.0	41.0	41.0	41.0	25346.93	11135.43	4669.43	39.0	4.0	3377.0	1118.0	803.0	295.5
PL-C3-L10	53.75	3.0	3.0	1633.5	1633.5	1633.5	55576.7	29301.09	21355.63	1524.5	1.5	19229.33	14326.0	15717.0	410.33
PL-C3-L5	54.75	12.0	14.0	562.5	562.5	562.5	42697.5	19526.25	10075.25	501.5	3.5	9235.5	4942.5	5311.5	560.0
SB-C1-L1	16.75	0.0	0.0	226.0	226.0	226.0	61551.58	27265.2	12162.52	103.0	0.0	10544.34	3952.0	3748.0	804.34
SB-C1-L3	5.5	0.0	0.0	394.0	394.0	394.0	80853.95999999999	34319.96	18130.46	287.0	0.0	15093.0	6569.0	6320.0	673.0
SB-C1-L5	19.75	11.0	15.0	925.0	925.0	925.0	86232.75	37705.75	21757.25	718.0	4.0	18803.5	9965.0	10269.0	856.0
SB-C2-L1	5.0	0.0	0.0	51.0	51.0	51.0	47392.2	19041.51	8018.17	48.0	0.0	6909.17	1679.0	1438.0	672.67
SB-C2-L4	3.5	2.0	2.0	149.0	149.0	149.0	42737.21	18387.21	8061.71	113.0	0.0	7147.0	2654.0	2480.0	696.0
SB-C2-L8	1.0	0.0	0.0	999.0	999.0	999.0	71842.59999999999	33223.4	19862.2	874.0	0.0	18247.5	11040.0	11395.0	685.0
SB-C3-L1	0.0	0.0	0.0	91.0	91.0	91.0	52221.48	23058.08	8681.68	83.0	0.0	7552.0	2672.0	2277.0	816.0
SB-C3-L1-B	21.5	21.0	25.0	201.0	201.0	201.0	33627.509999999995	16490.54	6997.12	178.0	7.0	5379.66	2108.0	1960.0	304.66
SB-C3-L10	30.5	2.0	3.0	2140.0	2140.0	2140.0	52878.9	28413.11	18684.17	1984.0	1.0	17281.67	11633.0	13487.0	324.67
SB-C3-L5	32.0	14.0	19.0	1245.0	1245.0	1245.0	57733.08	27954.57	15977.21	1132.0	7.0	14466.33	8532.0	9269.0	447.33
