	K09733: mfnB	K07144: mfnE	K18933: mfnA, adc	K06914: mfnD	K07072: mfnF
KS-C1-L1	2.0	2.0	2.0	2.0	2.0
KS-C1-L10	0.0	0.0	0.0	0.0	0.0
KS-C1-L5	0.0	0.0	12.0	0.0	0.0
KS-C2-L1	2.0	2.0	5.0	2.0	2.0
KS-C2-L10	1.67	1.67	64.67	1.67	1.67
KS-C2-L5	9.0	9.0	24.0	9.0	9.0
KS-C3-L1	13.5	0.0	0.0	0.0	3.0
KS-C3-L10	3.0	3.0	12.0	3.0	3.0
KS-C3-L5	0.0	0.0	13.0	0.0	0.0
KS-C4-L2	0.67	0.0	0.0	0.0	0.67
KS-C4-L5	3.0	3.0	3.0	3.0	3.0
KS-C5-L1	2.33	0.0	2.0	0.0	2.33
KS-C5-L5	34.0	34.0	44.0	34.0	34.0
KS-C5-L8	3.33	3.33	8.33	0.33	3.33
MB-C1-L1	3186.0	9.0	85.0	9.0	3396.0
MB-C2-L1	1624.0	22.5	265.5	22.5	1673.0
MB-C2-L1-B	2944.67	13.67	44.67	13.67	3192.67
MB-C3-L1	3793.83	7.5	20.5	7.5	4021.83
PL-C1-L1	2202.5	2.0	9.0	2.0	2412.5
PL-C1-L4	1280.8300000000002	10.0	53.0	10.0	1332.8300000000002
PL-C1-L7	408.0	5.0	154.0	5.0	420.0
PL-C2-L1	2869.99	3.0	10.0	0.0	3317.49
PL-C2-L1-B	3135.49	0.0	2.0	0.0	3365.99
PL-C2-L4	1208.17	7.0	13.0	7.0	1215.17
PL-C2-L8	1398.33	5.0	11.0	5.0	1476.33
PL-C3-L1	1962.34	4.0	6.0	4.0	2070.34
PL-C3-L10	708.5	6.5	113.5	6.5	714.5
PL-C3-L5	918.33	8.5	66.5	8.5	930.33
SB-C1-L1	2924.17	7.0	147.0	7.0	3040.17
SB-C1-L3	2158.0	6.0	113.0	6.0	2187.0
SB-C1-L5	1819.0	4.0	208.0	4.0	1822.0
SB-C2-L1	2649.0	0.0	3.0	0.0	2721.0
SB-C2-L4	2632.84	7.0	45.0	7.0	2659.84
SB-C2-L8	1307.5	22.0	147.0	22.0	1350.5
SB-C3-L1	3107.5	0.0	14.0	0.0	3168.5
SB-C3-L1-B	2043.0	10.0	39.0	10.0	2131.0
SB-C3-L10	1062.5	29.0	193.0	29.0	1093.5
SB-C3-L5	1818.5	15.0	130.0	15.0	1873.5
